,Tweet,Target,Stance
11,"And thats all The man just doesnt sleep proves how much hes out to help the American People all day everyday and for FREE!! Yes folks, @realDonaldTrump is the shiznit and will hopefully be in office until #2028 #2MoreTerms",Donald Trump,FAVOR
12,They have done exactly that! NOTHING! One thing they are good at is spending OUR money on witch hunts! #KAGA2020 #Trump,Donald Trump,FAVOR
13,#KAG #Trump #MAGA The Kurds Spotted Baghdadi. The U.S. Abandoned Them Anyway. via @thedailybeast,Donald Trump,FAVOR
14,Is this the first time a party with 3-way control has ever failed to fund government? #GOP #Trump,Donald Trump,AGAINST
15,They're not! People with personal agendas are! Some are doing it on purpose to diminish the movement #Trump,Donald Trump,AGAINST
16,God Blessed America with a great President who acknowledges that we are blessed because of God. #Trump,Donald Trump,FAVOR
17,This is not the way to treat a criminal as @realDonaldTrump he does NOT deserve the pass ur r giving him. U r what is wrong with #DemocraticParty,Donald Trump,AGAINST
18,Rudy Giuliani Reveals 8 Year-Long Alleged Money Scheme with Burisma/Ukraine...DEMOCRAT CORRUPTION..funding SOROS #NRA #2A #FreeSpeech #trump #impeachment #Trump,Donald Trump,FAVOR
19,"$30 billion to Fortune 500 companies ALONE, nearly $800 billion dollar deficit and now asking $5 billion for a poorly-defined wall? NO! Not fiscally conservative or responsible! Bad investment, corrupt leadership! #VoteThemOut #Election2020 #Trump",Donald Trump,FAVOR
20,"How dare a respected dead man disagree with a fucking piece of shit, blow hard president*! #NotMyPresident #Trump",Donald Trump,AGAINST
21,"8 Reasons Conservatives Are Very Pleased With Secretary of State Mike Pompeo. Military Strength And American Leadership Has Been Revitalized, And Pompeo Is Among The Best Of The #Trump Team.",Donald Trump,FAVOR
22,"WARNING, WARNING The CULT is about to suggest nothing to see here and the world will forever change. Power corrupts... An imbalanced dangerous ConMan is solidifying his power with the #GOP supporting his power grab. @realDonaldTrump",Donald Trump,AGAINST
23,"Trump made it political when he invited Mike to the Rose garden to kiss his ass...Dont play dumb Meghan, its not cute. You know why people are triggered!!",Donald Trump,AGAINST
24,"Kelly, on His Way Out, Says Administration Long Ago Abandoned Idea of Concrete Wall - The New York Times // Hear that @SenSchumer @NancyPelosi #Wall idea abandoned long ago. Who knows what #Trump will use money for. #JustSayNo Stand strong!",Donald Trump,AGAINST
25,#Trump is the man this is exactly the kind of action we need let them see if there not going to be part of the solution there only part of the problem no more money in the garbage #BuildTheDamnWall #BuildTheWallAndDeportThemAll #potus #BuildTheWall #potus45,Donald Trump,FAVOR
26,This is how its done. Take note never Trump milquetoasts.,Donald Trump,FAVOR
27,Watch this 2 minute clip as it sums up exactly why we got Trump + why the dem's pathetic #Resistance is really just the #assistance. It is why we so desperately need a new party. Time for @4aPeoplesParty #DemExit #PeoplesParty #RealRevolution,Donald Trump,AGAINST
28,"President @realDonaldTrump has made each member of this beautiful world think more, question more. We are all smarter from his Presidency and Leadership.",Donald Trump,FAVOR
29,"Cohen's hearing is stealing Trumps/Kim thunder. He must be pissed again...""Hey everybody..I'm over here"" #gop @gop #fbr",Donald Trump,AGAINST
30,"I can't even, The reaction of @EPA to #DonaldTrump toilet comment. Yup...join the club ma'am. #ThursdayThoughts #Trump is embarrassing 'I can't even': Emails reveal EPA officials' reaction to Trump rant on toilets, showers via @Yahoo",Donald Trump,AGAINST
31,"You're not in the arena, @AnnCoulter. You're a loud-mouthed spectator who turns with the change of a light breeze. #MAGA #KAG @realDonaldTrump",Donald Trump,FAVOR
32,"I think Trump employs professional people to write Tweets in his name. Thus his tweets often refer to himself in the third-person, and he often re-tweets himself too. #BootBarr #DitchMitch #PitchPence",Donald Trump,AGAINST
33,"@RepAdamSchiff this logic means we cant trust the vote to decide your fate, either. So, you should testify during the impeachment hearings! #TrumpImpeachmentTrial #ShiftySchiff #itsnotrussiastupid #Trump",Donald Trump,FAVOR
34,If you haven't seen this tweet please go in the comments and drag this CNN aka Clown News Network working idiot... #BumBitch #FakeNewsMotherFucker #Trump,Donald Trump,FAVOR
35,"Whole heartedly agreed! #DemocratsAreLiars Interfered in 2016, 2018 and now 2020 Elections. 2016=truth is coming out 2018=held Mueller exoneration of No Crimes=@realDonaldTrump=they gained House Majority promising indictments of POTUS 2020=House Impeachment Need I say more?",Donald Trump,FAVOR
36,Show us the evidence or there isn't any. This administration is led by a corrupt pathological liar and his team of #Republican cucks. I trust what we hear from Iran more than I trust what we hear from @realDonaldTrump and his administration. #NotMyPresident,Donald Trump,FAVOR
37,This is going to be such a landslide victory for conservatism. Even the republicans that arent fans of Trump will vote for him becasue of the lefts derangement. #Republican #Conservatives,Donald Trump,FAVOR
38,"The #election of 2020, can't come quick enough. Once the @realDonaldTrump wins again, wonder what the #dems will do then",Donald Trump,FAVOR
39,"America is RIFE with Coronavirus... 32% increase of active cases in the last 24hrs & that's with minimal testing being carried out because #Trump has deliberately sold you all out. So yeah, please stay home American Citizens, we've enough dealing with our own #coronavirus issues.",Donald Trump,AGAINST
40,"When theyll bombard the storm? According to the orange mastodon (@realDonaldTrump) thats the way to do everything, be violent, weaponized and leave all in dust!",Donald Trump,AGAINST
41,"Could President Trump make it ANY Clearer?? Is The Donald ready to bypass congress? Because of the tremendous dangers at the Border, including large scale #criminal and drug inflow, THE United States Military WILL BUILD THE WALL! ~@realDonaldTrump 12/19/18 #GOP",Donald Trump,FAVOR
42,"80% of Republicans support him, and the fear of getting primaried stops any #GOP actions ... #Trump",Donald Trump,AGAINST
43,PELOSI IS AFRAID Trump won't leave office if he loses. Don't worry about that Nancy cuz he is WINNING @realDonaldTrump #MAGA #KAG #Trump @SpeakerPelosi,Donald Trump,FAVOR
44,Good for her! I cant believe that they did that to her only in TRUMPS AMERICA! #IMPEACH45 #ITSMULLERTIME #BLUETSUNAMI #2020ELECTIONS,Donald Trump,AGAINST
45,"I believe by elites, she means rich #Democrats and other career politician in whose corn flakes trump has pissed. If you dont like that, you must be a Trump elite! @FoxNews",Donald Trump,FAVOR
46,"Make no mistake, @RealDonaldTrump 's policy of energy dominance through prodction and continued burning of fossil fuels will accelerate catastrophic climate change resulting in human suffering on a massive scale and ending in human extiction. #WorstPresidentEver",Donald Trump,AGAINST
47,Clinton have his order in yet?! Military researchers develop self-destructing material that 'disappears in an instant' to carry out covert missions without leaving any trace #Trump #LowLifeClinton,Donald Trump,FAVOR
48,Im SO GLAD #StormyDaniels is suing DT for defamation. Its about time someone holds him accountable for his damaging BS Tweets! #DemForce #Trump,Donald Trump,AGAINST
49,Yep did you notice he dressed just like Trump? #MAGA #KAG they gotta act like Trump to think they even have a chance!,Donald Trump,FAVOR
50,"Unified? Around the world. Where have you been? I work all over, mostly Europe these day Before I always met admiration for Americans Now increasingly ridicule and laughter Yea, unified... against #realDonaldTrump A baby with tantrums",Donald Trump,AGAINST
51,All Hope gone. Why Hope cannot LICk Anymore - a serious HICKsUp and a symptom of Trump soon landing in jail,Donald Trump,AGAINST
52,YTF do you #American #Liberals think #Canada is your dumping ground or refuge? And I'd much rather #Trump in Canada than this wretched talentless hack @kathygriffin. But on the dumping ground to Canada reflex overall: GFY. #usa #DonaldTrump,Donald Trump,FAVOR
53,"#Trump Since you seem to like to pattern yourself after #CrookedNixon, how about you skip all of the rest of #Nixon's doings and just take that final walk to the helicopter like Nixon did, turn around and give the final wave.. #TheResistance #LockHimUp Now!",Donald Trump,AGAINST
54,This is legal phrase is used by an appellate court to say a lower court failed to follow the law: ABUSE OF DISCRETION It's the legal equivalent of DUH. Which is what #SCOTUS said to judges who had ruled against realDonaldTrump #travelban.,Donald Trump,AGAINST
55,"Why should he? They want to be left alone and say they want more privacy, so why not hunker down in #Canada! Donald Trump says #USA will not pay #MeghanMarkle and #PrinceHarry's 8m LA security bill",Donald Trump,FAVOR
56,"Elect a clown, expect a circus. Wonder if the MAGAts are still happy they supported and voted for a person who believe 100-200k lives lost is 'doing a great job'....asking for several million friends. #Trump",Donald Trump,AGAINST
57,"Putin keeps whispering in #Trumps ear. Perhaps this is Putins quid pro quo. If you withdraw from Open Skies, Ill help you win in November . . . #FridayThoughts #CorruptTrump",Donald Trump,AGAINST
58,What is WRONG with finding out WHOLE TRUTH? #Dems sure cried 4TRANSPARENCY abt 2016 election when they thought they could pin vote fraud/Russian Collusion on #Trump That didnt work &amp;Trump on 2them...Dems makn new conspiracies &amp;circln wagons What r #Democrats so worried abt?,Donald Trump,FAVOR
59,It seems so long ago to see a president speak in coherent sentences #Trump who has no credible #CoronaVirusPandemic,Donald Trump,AGAINST
60,".@realdonaldtrump when my wife &amp; I get that $2,400.00 check signed by you we're going to give our thanks to @SpeakerPelosi for getting it done. You should too. #DemsAreWorkingForUs",Donald Trump,AGAINST
61,"@SenMikeLee made a cogent, logical, utterly reasonable, &amp; nearly irrefutable argument against the #GOP &amp; #Dem #Trump #coup accomplices attempting to unconstitutionally restrict #ExecutiveAuthority w/ their #SpecialCounselProtectionLegislation - Where does he get off? #CSPAN",Donald Trump,FAVOR
62,"Thats some flat out #bullshit. That is my tax money being used. Hell, I own a small business and I didnt even get my tax money. We better damn well be able to see who is getting it. #corruption #fraud #Trump",Donald Trump,AGAINST
63,"#Trump breaks silence on #RoseanneBarr scandal via @CNNMoney He refused to condemn her comments &amp; made it all about himself, again.",Donald Trump,AGAINST
64,@MSNBC STOP giving oxygen to #Trump rallies - even @fox doesn't cover them anymore. Please. Stop @nbcnews #andylack,Donald Trump,AGAINST
65,Fvck that powergrab. Ag Barr couldnt be more anti-America. I thought Repubs distrust fed govmt? This is a clear attempt to break t/attempts of those working on behalf Americans to hold Power/Trump accountable! Oban in Hungary just used t/same excuse to consolidate power.,Donald Trump,AGAINST
66,"#leftwing #activist #RobReiner has declared that all #supporters of #President #DonaldTrump are #racist, claiming that #Trump has made it abundantly clear his re-election [campaign] is based on #whitenationalism. #RobReiner is a childish #RACIST #POS",Donald Trump,FAVOR
67,"Wayfair loses money and is not doing well, I wonder why? #WalkAway #Trump",Donald Trump,FAVOR
68,#GodBless @realDonaldTrump #Trump #maga #Maga2020 #KAG2020 #kag #ImStillVotingTrump2020 I'm hurting but considering the other people out there running for #President is my only choice. I'd rather #Stalin or #Hitler than the #Democrats running 4 Pres,Donald Trump,FAVOR
69,She doesn't give a shit about the Army. What has she done for the Army? She condones tRump's actions and part of the #Trump she's a grifter too.,Donald Trump,AGAINST
70,#FoxAndFriends #RepublicanParty #DemocraticParty Trump is deathly afraid of what Mueller will say tomorrow. Hopefully there will be sufficient data to start impeachment. Once impeached he can be booted out of office and prosecuted. Then the prison photos will hit the internet.,Donald Trump,AGAINST
71,"#Trump #Resist No Christian I, but in Proverbs 6:16-19 some things God hates A lying tongue, a heart that devises wicked schemes, feet that are quick to rush into evil, a false witness who pours out lies and a person who stirs up conflict in the community. Fuck Trump and SHS",Donald Trump,AGAINST
72,To remove The AntiChrist from squatting its evil a$$in The White House: Elephant tranquilizers Industrial-strength straight jacket Large crane Trump Cant Just Refuse to Leave Office #2020Elections,Donald Trump,AGAINST
73,"OMG! MUST SEE!.. MILE LONG LINE to See President Trump in Murphysboro, Illinois (VIDEO) #Qanon @POTUS #Trump #RALLY",Donald Trump,FAVOR
74,"Hey #MAGA morons and all Donald Trump sycophants, apologists and doormats. I have one question. Are we great yet? 200,000.00 Americans could DIE. #COVID19 #DonaldTrump @realDonaldTrump",Donald Trump,AGAINST
75,Who the hell cares what #JackoWillink says to those two bozos and a bimbo on a couch on #DonaldTrump's state propaganda network #FoxNews! Experts say Trump made a BIG blunder which may lead to another massive mid east war! #POTUS @realDonaldTrump #FoxNews,Donald Trump,AGAINST
76,"#TrumpIndiaVisit | US President @realDonaldTrump arrives in India, was received by PM @narendramodi with his signature hug #NamasteTrump #DonaldTrump #TrumpInIndia",Donald Trump,FAVOR
77,Found a new #Patriot to follow. Would appreciate a follow back from @AnonCassi. Thanks! #PatriotsUnite #Trump,Donald Trump,FAVOR
78,"Surprised by @realDonaldTrump signaling a withdraw from #Syria? 2013 quote: we need our troops on the streets of Chicago, not in Syria",Donald Trump,FAVOR
79,I never supported him. I spotted him as a dangerous idealogue from day one. I am surprised he survived the primary process. This and his #Trump rallies has lowered my estimation of the #GOP so much that I think they are no longer a credible party. They are a fringe group now!,Donald Trump,AGAINST
80,Silver Lining' to Deadly Virus It's Hurting Trump - NRL News Today: via @nrlc #2020elections #COVID19 #pandemic #trump,Donald Trump,AGAINST
81,Just think of it as an unborn child. Then you can celebrate the death and call it empowerment and a choice #TheDeadBabyDance #Trump,Donald Trump,FAVOR
82,Why Trump is the Black Voters Clear Choice in 2020 #Election2020 #KAG #NOBS #Trump via @keichri,Donald Trump,FAVOR
83,"Senator Booker You and other #Dems Must #StopKavanaugh DO EVERYTHING YOU CAN Please think out of the Box He cannot be on #SCOTUS Not Worthy Neither is Trump, #NoJudge4Trump",Donald Trump,AGAINST
84,Earth Day founded by a killer named Ira Einhorn who killed his girlfriend in Philadelphia and stuffed her in a trunk! Hahahahaha! @realDonaldTrump #KAG2020 @DNC #metoo,Donald Trump,FAVOR
85,"GETAnalysis: #China's #President welcomes #Phase1 #TradeDeal with @POTUS #Trump - of course he does: 'Of course, WHEN the market DEMAND is booming, Chinese companies MAY buy more,' he said. #XiJinping #ThursdayMorning #ThursdayReview #ThursdayThoughts",Donald Trump,FAVOR
86,"Good old Mitch stole the Obama appointment, because it was an election year. Now we have an election year, and more people voted for Clinton than Trump in the last one. But #GOP could care less about the majority of the people, you are without one shred of decency. Ashamed.",Donald Trump,AGAINST
87,So grateful for President Trump's leadership & the military's service. New York will be in good hands. Some of the best medical I've ever received has been through the Navy. #USN #Norfolk #NewYork #Thankful #ChineseVirus,Donald Trump,FAVOR
88,#maga2020 @realDonaldTrump Trump Was 'Only One' To Help Prosecutor In 2009 Epstein Case | Zero Hedge,Donald Trump,FAVOR
89,And the punchline: the 44th #IMPOTUS @realDonaldTrump and the @GOP Group of Putin has helped every step of the way over the past three years...at least.,Donald Trump,AGAINST
90,What's missing here is significant. Trump is a loosed mad beast. We MUST focus on WHO set this beast upon us. WHO REFUSES to rein their beast n. WHO is using this beast for cover as THEY wage war on Americans n fealty to their #MoniedMasters. #GOP,Donald Trump,AGAINST
91,"DemWrite EPAScottPruitt And Trump and the #GOP are cheering him on! They're probably thinking ""Oh that was clever! Why didn't we think of that?"" More creative elimination of inconvenient facts.",Donald Trump,AGAINST
92,Melania Trumps Visit To A Childrens Hospital Will Warm Your Heart: 'So great to spend time' #Trump,Donald Trump,FAVOR
93,Social Security is not charity. We paid for it and I still have check stubs to prove it. We are being robbed. #Trump,Donald Trump,AGAINST
94,"Why do extremely wealthy, agenda-driven globalists think THEY get to buy who is President? Oh... probably cuz theyve been doing it forever. NOT THIS TIME! @realDonaldTrump is for #WeThePeople and #AmericaFirst Koch Bros are for the Koch Bros, NWO and chaos #Winning",Donald Trump,FAVOR
95,"Just ignore Nancy. She thinks ""disbarred"" means, ""Ban them from the bars where I hang out."" #Pelosi #ImpeachmentHoax #Trump",Donald Trump,FAVOR
96,Your tireless determination to do what is best for America is mighty awesome. You are a warrior! #ThankYouPresidentTrump #Trump,Donald Trump,FAVOR
97,"Welcome to the modern Trump Republican Party in the US. I keep thinking they cannot sink lower, and am proven wrong daily. #BLM #COVIDIOTS #MoscowMitchMustGo",Donald Trump,AGAINST
98,Had a blast! God Bless Trump and his team. What a historic moment in time. I will NEVER forget this rally.,Donald Trump,FAVOR
99,"How is it the worst economy when he had record Dow, more growth in the us markets than Trump, and dropped unemployment more in his last year than trumps first two? How is that the worst? Over six years of steady growth.",Donald Trump,FAVOR
